dog_id,dog_name,sex,age_months,weight_kg,height_cm,activity_level,source_type,previous_age_months,previous_weight_kg,previous_height_cm,delta_age_months,weight_gain_kg,height_gain_cm,growth_velocity_kg_per_month,height_velocity_cm_per_month,weight_to_height_ratio,lag_weight_kg,lag_height_cm,rolling_weight_mean_3,rolling_height_mean_3,rolling_growth_velocity_3,weight_change_percent,growth_phase,growth_velocity_z_score,growth_velocity_signal
1,Ares,male,2,9.5,32,medium,prototype,,,,,,,,,0.296875,,,9.5,32.0,,,early_puppy,,first_record_no_previous_measurement
1,Ares,male,3,14.2,38,medium,prototype,2.0,9.5,32.0,1.0,4.699999999999999,6.0,4.699999999999999,6.0,0.3736842105263158,9.5,32.0,11.85,35.0,4.699999999999999,49.47368421052631,early_puppy,0.41278409064051824,within_average_gain_band
1,Ares,male,4,20.1,45,medium,prototype,3.0,14.2,38.0,1.0,5.900000000000002,7.0,5.900000000000002,7.0,0.4466666666666667,14.2,38.0,14.6,38.333333333333336,5.300000000000001,41.5492957746479,early_puppy,1.1277091136055428,faster_than_average_gain
1,Ares,male,5,26.4,51,medium,prototype,4.0,20.1,45.0,1.0,6.299999999999997,6.0,6.299999999999997,6.0,0.5176470588235293,20.1,45.0,20.233333333333334,44.666666666666664,5.633333333333333,31.343283582089537,juvenile,1.3660174545938808,faster_than_average_gain
1,Ares,male,6,31.8,56,medium,prototype,5.0,26.4,51.0,1.0,5.400000000000002,5.0,5.400000000000002,5.0,0.5678571428571428,26.4,51.0,26.099999999999998,50.666666666666664,5.866666666666667,20.454545454545464,juvenile,0.8298236873701167,within_average_gain_band
1,Ares,male,8,38.5,61,medium,prototype,6.0,31.8,56.0,2.0,6.699999999999999,5.0,3.3499999999999996,2.5,0.6311475409836066,31.8,56.0,32.233333333333334,56.0,5.016666666666667,21.069182389937104,juvenile,-0.3915065601951323,within_average_gain_band
1,Ares,male,10,43.2,64,medium,prototype,8.0,38.5,61.0,2.0,4.700000000000003,3.0,2.3500000000000014,1.5,0.675,38.5,61.0,37.833333333333336,60.333333333333336,3.700000000000001,12.207792207792215,adolescent,-0.9872774126659837,within_average_gain_band
1,Ares,male,12,46.7,66,medium,prototype,10.0,43.2,64.0,2.0,3.5,2.0,1.75,1.0,0.7075757575757576,43.2,64.0,42.800000000000004,63.666666666666664,2.483333333333334,8.101851851851851,adolescent,-1.344739924148496,slower_than_average_gain
2,Bruna,female,2,8.7,31,medium,prototype,,,,,,,,,0.2806451612903226,,,8.7,31.0,,,early_puppy,,first_record_no_previous_measurement
2,Bruna,female,3,13.1,37,medium,prototype,2.0,8.7,31.0,1.0,4.4,6.0,4.4,6.0,0.35405405405405405,8.7,31.0,10.899999999999999,34.0,4.4,50.57471264367817,early_puppy,0.23405283489926315,within_average_gain_band
2,Bruna,female,4,18.4,43,medium,prototype,3.0,13.1,37.0,1.0,5.299999999999999,6.0,5.299999999999999,6.0,0.42790697674418604,13.1,37.0,13.399999999999999,37.0,4.85,40.45801526717557,early_puppy,0.7702466021230295,within_average_gain_band
2,Bruna,female,5,23.2,49,medium,prototype,4.0,18.4,43.0,1.0,4.800000000000001,6.0,4.800000000000001,6.0,0.473469387755102,18.4,43.0,18.23333333333333,43.0,4.833333333333333,26.086956521739136,juvenile,0.47236117588760435,within_average_gain_band
2,Bruna,female,6,28.1,53,medium,prototype,5.0,23.2,49.0,1.0,4.900000000000002,4.0,4.900000000000002,4.0,0.530188679245283,23.2,49.0,23.23333333333333,48.333333333333336,5.000000000000001,21.120689655172423,juvenile,0.5319382611346904,within_average_gain_band
2,Bruna,female,8,34.4,58,medium,prototype,6.0,28.1,53.0,2.0,6.299999999999997,5.0,3.1499999999999986,2.5,0.593103448275862,28.1,53.0,28.566666666666663,53.333333333333336,4.283333333333334,22.419928825622765,juvenile,-0.5106607306893034,within_average_gain_band
2,Bruna,female,10,38.7,61,medium,prototype,8.0,34.4,58.0,2.0,4.300000000000004,3.0,2.150000000000002,1.5,0.6344262295081967,34.4,58.0,33.73333333333333,57.333333333333336,3.400000000000001,12.500000000000014,adolescent,-1.1064315831601537,slower_than_average_gain
2,Bruna,female,12,41.5,62,medium,prototype,10.0,38.7,61.0,2.0,2.799999999999997,1.0,1.3999999999999986,0.5,0.6693548387096774,38.7,61.0,38.199999999999996,60.333333333333336,2.233333333333333,7.235142118863042,adolescent,-1.5532597225132951,slower_than_average_gain
3,Bruno,male,2,10.1,33,high,prototype,,,,,,,,,0.30606060606060603,,,10.1,33.0,,,early_puppy,,first_record_no_previous_measurement
3,Bruno,male,3,15.4,40,high,prototype,2.0,10.1,33.0,1.0,5.300000000000001,7.0,5.300000000000001,7.0,0.385,10.1,33.0,12.75,36.5,5.300000000000001,52.47524752475249,early_puppy,0.7702466021230305,within_average_gain_band
3,Bruno,male,4,22.3,47,high,prototype,3.0,15.4,40.0,1.0,6.9,7.0,6.9,7.0,0.474468085106383,15.4,40.0,15.933333333333332,40.0,6.1000000000000005,44.80519480519481,early_puppy,1.7234799660763942,faster_than_average_gain
3,Bruno,male,5,28.9,53,high,prototype,4.0,22.3,47.0,1.0,6.599999999999998,6.0,6.599999999999998,6.0,0.5452830188679245,22.3,47.0,22.2,46.666666666666664,6.266666666666666,29.596412556053803,juvenile,1.544748710335137,faster_than_average_gain
3,Bruno,male,6,34.6,58,high,prototype,5.0,28.9,53.0,1.0,5.700000000000003,5.0,5.700000000000003,5.0,0.596551724137931,28.9,53.0,28.600000000000005,52.666666666666664,6.400000000000001,19.72318339100347,juvenile,1.0085549431113727,faster_than_average_gain
3,Bruno,male,8,41.8,63,high,prototype,6.0,34.6,58.0,2.0,7.199999999999996,5.0,3.599999999999998,2.5,0.6634920634920635,34.6,58.0,35.1,58.0,5.3,20.80924855491328,juvenile,-0.24256384707742026,within_average_gain_band
3,Bruno,male,10,46.2,66,high,prototype,8.0,41.8,63.0,2.0,4.400000000000006,3.0,2.200000000000003,1.5,0.7000000000000001,41.8,63.0,40.86666666666667,62.333333333333336,3.8333333333333344,10.5263157894737,adolescent,-1.0766430405366108,slower_than_average_gain
