dataset_name,source_type,public_class_name,normalized_class_name,target_class,match_level,baseline_role,confirmation_status,usable_for_stage15_baseline,limitation_notes
Stanford Dogs,public_candidate,great_dane,great_dane,great_dane,exact_target_class,candidate_baseline_class,needs_local_label_list_verification,yes_if_confirmed,Verify the extracted folder / label names before training.
Stanford Dogs,public_candidate,boxer,boxer,boxer,exact_target_class,candidate_baseline_class,needs_local_label_list_verification,yes_if_confirmed,Likely available in common dog-breed datasets; verify locally.
Stanford Dogs,public_candidate,bull_mastiff,bullmastiff,bullmastiff,exact_or_near_exact_target_class,candidate_baseline_class,needs_local_label_list_verification,yes_if_confirmed,Public labels may use bull_mastiff / bullmastiff variants.
Stanford Dogs,public_candidate,mastiff,mastiff,other_unknown,related_molossoid_class,contrast_or_related_class,needs_local_label_list_verification,yes_if_confirmed,May help as a related molossoid class but is not Cane Corso.
Kaggle Dog Breed Identification,public_candidate,great_dane,great_dane,great_dane,exact_target_class,candidate_baseline_class,needs_kaggle_download_and_label_check,yes_if_confirmed,Kaggle class list must be checked after download.
Kaggle Dog Breed Identification,public_candidate,boxer,boxer,boxer,exact_target_class,candidate_baseline_class,needs_kaggle_download_and_label_check,yes_if_confirmed,Kaggle class list must be checked after download.
Oxford-IIIT Pet,public_candidate,boxer,boxer,boxer,exact_target_class,candidate_baseline_class,documented_public_class,yes,"Useful confirmed baseline class, but not enough for Cane Corso-specific classification."
Oxford-IIIT Pet,public_candidate,american_bulldog,american_bulldog,other_unknown,related_or_contrast_class,contrast_class,documented_public_class,optional,Useful as contrast but not a target Cane Corso class.
Oxford-IIIT Pet,public_candidate,staffordshire_bull_terrier,staffordshire_bull_terrier,other_unknown,related_or_contrast_class,contrast_class,documented_public_class,optional,Useful as visual contrast; not a molossoid target class.
Tsinghua Dogs,public_candidate,unknown_until_download,unknown_until_download,cane_corso,needs_local_verification,research_candidate,needs_download_or_class_list_verification,no_until_confirmed,Do not claim Cane Corso availability until class labels are inspected.
Tsinghua Dogs,public_candidate,unknown_until_download,unknown_until_download,dogo_argentino,needs_local_verification,research_candidate,needs_download_or_class_list_verification,no_until_confirmed,Do not claim Dogo Argentino availability until class labels are inspected.
Tsinghua Dogs,public_candidate,unknown_until_download,unknown_until_download,presa_canario,needs_local_verification,research_candidate,needs_download_or_class_list_verification,no_until_confirmed,Do not claim Presa Canario availability until class labels are inspected.
Future USG Consent Dataset,future_consent_dataset,cane_corso,cane_corso,cane_corso,exact_target_class,future_primary_class,requires_owner_permission_and_dataset_collection,future,Use only owner-provided or permission-cleared images.
Future USG Consent Dataset,future_consent_dataset,dogo_argentino,dogo_argentino,dogo_argentino,exact_target_class,future_comparison_class,requires_owner_permission_and_dataset_collection,future,Use only permission-cleared images.
Future USG Consent Dataset,future_consent_dataset,presa_canario,presa_canario,presa_canario,exact_target_class,future_comparison_class,requires_owner_permission_and_dataset_collection,future,Use only permission-cleared images.
