experiment,dog_id,dog_name,age_months,actual_weight_kg,predicted_weight_kg,residual_kg
baseline_lag_age,1,Ares,12,46.7,49.912,-3.212
baseline_lag_age,2,Bruna,12,41.5,44.842,-3.342
baseline_lag_age,3,Bruno,12,49.1,53.292,-4.192
baseline_lag_age,4,Luna,12,39.2,42.364,-3.164
lag_height_rolling,1,Ares,12,46.7,50.427,-3.727
lag_height_rolling,2,Bruna,12,41.5,45.945,-4.445
lag_height_rolling,3,Bruno,12,49.1,53.567,-4.467
lag_height_rolling,4,Luna,12,39.2,43.528,-4.328
time_velocity_category,1,Ares,12,46.7,46.875,-0.175
time_velocity_category,2,Bruna,12,41.5,42.66,-1.16
time_velocity_category,3,Bruno,12,49.1,49.551,-0.451
time_velocity_category,4,Luna,12,39.2,40.603,-1.403
nonlinear_reference,1,Ares,12,46.7,39.168,7.532
nonlinear_reference,2,Bruna,12,41.5,38.666,2.834
nonlinear_reference,3,Bruno,12,49.1,39.617,9.483
nonlinear_reference,4,Luna,12,39.2,38.808,0.392
