row_id,source_dataset,label,display_name,split,source_relative_path,split_relative_path,original_class_folder,filename,copied
1,Stanford Dogs / ImageNet Dogs,boxer,Boxer,train,data\images\local_dataset\raw\stanford_dogs\Images\n02108089-boxer\n02108089_2360.jpg,data\images\local_dataset\splits\stanford_dogs_first_baseline\train\boxer\n02108089-boxer__n02108089_2360.jpg,data\images\local_dataset\raw\stanford_dogs\Images\n02108089-boxer,n02108089_2360.jpg,true
2,Stanford Dogs / ImageNet Dogs,boxer,Boxer,train,data\images\local_dataset\raw\stanford_dogs\Images\n02108089-boxer\n02108089_770.jpg,data\images\local_dataset\splits\stanford_dogs_first_baseline\train\boxer\n02108089-boxer__n02108089_770.jpg,data\images\local_dataset\raw\stanford_dogs\Images\n02108089-boxer,n02108089_770.jpg,true
3,Stanford Dogs / ImageNet Dogs,boxer,Boxer,train,data\images\local_dataset\raw\stanford_dogs\Images\n02108089-boxer\n02108089_395.jpg,data\images\local_dataset\splits\stanford_dogs_first_baseline\train\boxer\n02108089-boxer__n02108089_395.jpg,data\images\local_dataset\raw\stanford_dogs\Images\n02108089-boxer,n02108089_395.jpg,true
4,Stanford Dogs / ImageNet Dogs,boxer,Boxer,train,data\images\local_dataset\raw\stanford_dogs\Images\n02108089-boxer\n02108089_5423.jpg,data\images\local_dataset\splits\stanford_dogs_first_baseline\train\boxer\n02108089-boxer__n02108089_5423.jpg,data\images\local_dataset\raw\stanford_dogs\Images\n02108089-boxer,n02108089_5423.jpg,true
5,Stanford Dogs / ImageNet Dogs,boxer,Boxer,train,data\images\local_dataset\raw\stanford_dogs\Images\n02108089-boxer\n02108089_2432.jpg,data\images\local_dataset\splits\stanford_dogs_first_baseline\train\boxer\n02108089-boxer__n02108089_2432.jpg,data\images\local_dataset\raw\stanford_dogs\Images\n02108089-boxer,n02108089_2432.jpg,true
6,Stanford Dogs / ImageNet Dogs,boxer,Boxer,train,data\images\local_dataset\raw\stanford_dogs\Images\n02108089-boxer\n02108089_1418.jpg,data\images\local_dataset\splits\stanford_dogs_first_baseline\train\boxer\n02108089-boxer__n02108089_1418.jpg,data\images\local_dataset\raw\stanford_dogs\Images\n02108089-boxer,n02108089_1418.jpg,true
7,Stanford Dogs / ImageNet Dogs,boxer,Boxer,train,data\images\local_dataset\raw\stanford_dogs\Images\n02108089-boxer\n02108089_11807.jpg,data\images\local_dataset\splits\stanford_dogs_first_baseline\train\boxer\n02108089-boxer__n02108089_11807.jpg,data\images\local_dataset\raw\stanford_dogs\Images\n02108089-boxer,n02108089_11807.jpg,true
8,Stanford Dogs / ImageNet Dogs,boxer,Boxer,train,data\images\local_dataset\raw\stanford_dogs\Images\n02108089-boxer\n02108089_1357.jpg,data\images\local_dataset\splits\stanford_dogs_first_baseline\train\boxer\n02108089-boxer__n02108089_1357.jpg,data\images\local_dataset\raw\stanford_dogs\Images\n02108089-boxer,n02108089_1357.jpg,true
9,Stanford Dogs / ImageNet Dogs,boxer,Boxer,train,data\images\local_dataset\raw\stanford_dogs\Images\n02108089-boxer\n02108089_5043.jpg,data\images\local_dataset\splits\stanford_dogs_first_baseline\train\boxer\n02108089-boxer__n02108089_5043.jpg,data\images\local_dataset\raw\stanford_dogs\Images\n02108089-boxer,n02108089_5043.jpg,true
10,Stanford Dogs / ImageNet Dogs,boxer,Boxer,train,data\images\local_dataset\raw\stanford_dogs\Images\n02108089-boxer\n02108089_4076.jpg,data\images\local_dataset\splits\stanford_dogs_first_baseline\train\boxer\n02108089-boxer__n02108089_4076.jpg,data\images\local_dataset\raw\stanford_dogs\Images\n02108089-boxer,n02108089_4076.jpg,true
