local_class_folder,folder_name,normalized_label,image_count,matched_project_targets,usable_for_first_baseline
data\images\local_dataset\raw\stanford_dogs\Images,Images,images,20580,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02085620-Chihuahua,n02085620-Chihuahua,chihuahua,152,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02085782-Japanese_spaniel,n02085782-Japanese_spaniel,japanese spaniel,185,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02085936-Maltese_dog,n02085936-Maltese_dog,maltese dog,252,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02086079-Pekinese,n02086079-Pekinese,pekinese,149,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02086240-Shih-Tzu,n02086240-Shih-Tzu,shih tzu,214,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02086646-Blenheim_spaniel,n02086646-Blenheim_spaniel,blenheim spaniel,188,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02086910-papillon,n02086910-papillon,papillon,196,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02087046-toy_terrier,n02087046-toy_terrier,toy terrier,172,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02087394-Rhodesian_ridgeback,n02087394-Rhodesian_ridgeback,rhodesian ridgeback,172,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02088094-Afghan_hound,n02088094-Afghan_hound,afghan hound,239,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02088238-basset,n02088238-basset,basset,175,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02088364-beagle,n02088364-beagle,beagle,195,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02088466-bloodhound,n02088466-bloodhound,bloodhound,187,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02088632-bluetick,n02088632-bluetick,bluetick,171,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02089078-black-and-tan_coonhound,n02089078-black-and-tan_coonhound,black and tan coonhound,159,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02089867-Walker_hound,n02089867-Walker_hound,walker hound,153,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02089973-English_foxhound,n02089973-English_foxhound,english foxhound,157,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02090379-redbone,n02090379-redbone,redbone,148,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02090622-borzoi,n02090622-borzoi,borzoi,151,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02090721-Irish_wolfhound,n02090721-Irish_wolfhound,irish wolfhound,218,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02091032-Italian_greyhound,n02091032-Italian_greyhound,italian greyhound,182,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02091134-whippet,n02091134-whippet,whippet,187,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02091244-Ibizan_hound,n02091244-Ibizan_hound,ibizan hound,188,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02091467-Norwegian_elkhound,n02091467-Norwegian_elkhound,norwegian elkhound,196,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02091635-otterhound,n02091635-otterhound,otterhound,151,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02091831-Saluki,n02091831-Saluki,saluki,200,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02092002-Scottish_deerhound,n02092002-Scottish_deerhound,scottish deerhound,232,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02092339-Weimaraner,n02092339-Weimaraner,weimaraner,160,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02093256-Staffordshire_bullterrier,n02093256-Staffordshire_bullterrier,staffordshire bullterrier,155,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02093428-American_Staffordshire_terrier,n02093428-American_Staffordshire_terrier,american staffordshire terrier,164,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02093647-Bedlington_terrier,n02093647-Bedlington_terrier,bedlington terrier,182,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02093754-Border_terrier,n02093754-Border_terrier,border terrier,172,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02093859-Kerry_blue_terrier,n02093859-Kerry_blue_terrier,kerry blue terrier,179,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02093991-Irish_terrier,n02093991-Irish_terrier,irish terrier,169,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02094114-Norfolk_terrier,n02094114-Norfolk_terrier,norfolk terrier,172,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02094258-Norwich_terrier,n02094258-Norwich_terrier,norwich terrier,185,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02094433-Yorkshire_terrier,n02094433-Yorkshire_terrier,yorkshire terrier,164,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02095314-wire-haired_fox_terrier,n02095314-wire-haired_fox_terrier,wire haired fox terrier,157,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02095570-Lakeland_terrier,n02095570-Lakeland_terrier,lakeland terrier,197,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02095889-Sealyham_terrier,n02095889-Sealyham_terrier,sealyham terrier,202,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02096051-Airedale,n02096051-Airedale,airedale,202,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02096177-cairn,n02096177-cairn,cairn,197,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02096294-Australian_terrier,n02096294-Australian_terrier,australian terrier,196,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02096437-Dandie_Dinmont,n02096437-Dandie_Dinmont,dandie dinmont,180,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02096585-Boston_bull,n02096585-Boston_bull,boston bull,182,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02097047-miniature_schnauzer,n02097047-miniature_schnauzer,miniature schnauzer,154,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02097130-giant_schnauzer,n02097130-giant_schnauzer,giant schnauzer,157,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02097209-standard_schnauzer,n02097209-standard_schnauzer,standard schnauzer,155,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02097298-Scotch_terrier,n02097298-Scotch_terrier,scotch terrier,158,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02097474-Tibetan_terrier,n02097474-Tibetan_terrier,tibetan terrier,206,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02097658-silky_terrier,n02097658-silky_terrier,silky terrier,183,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02098105-soft-coated_wheaten_terrier,n02098105-soft-coated_wheaten_terrier,soft coated wheaten terrier,156,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02098286-West_Highland_white_terrier,n02098286-West_Highland_white_terrier,west highland white terrier,169,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02098413-Lhasa,n02098413-Lhasa,lhasa,186,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02099267-flat-coated_retriever,n02099267-flat-coated_retriever,flat coated retriever,152,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02099429-curly-coated_retriever,n02099429-curly-coated_retriever,curly coated retriever,151,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02099601-golden_retriever,n02099601-golden_retriever,golden retriever,150,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02099712-Labrador_retriever,n02099712-Labrador_retriever,labrador retriever,171,,possible_other_class_or_ignore
data\images\local_dataset\raw\stanford_dogs\Images\n02099849-Chesapeake_Bay_retriever,n02099849-Chesapeake_Bay_retriever,chesapeake bay retriever,167,,possible_other_class_or_ignore
